928.0000000000000000	1.0000000000000000	1201	0	1601	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 88 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_032.txt	101010	1	1568679981
315.0000000000000000	1.0000000000000000	1201	0	1601	0.166667 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 29 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_033.txt	000100	1	1568679987
660.0000000000000000	1.0000000000000000	1201	0	1601	0.333333 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 40 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_034.txt	100001	0	1568679992
713.0000000000000000	1.0000000000000000	1201	0	1601	0.500000 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 32 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_035.txt	011001	0	1568679997
195.0000000000000000	1.0000000000000000	1201	0	1601	0.833333 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 15 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_036.txt	111110	1	1568680001
144.0000000000000000	1.0000000000000000	1201	0	1601	0.166667 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 56 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_037.txt	001000	0	1568680007
414.0000000000000000	1.0000000000000000	1201	0	1601	0.666667 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 68 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_038.txt	110110	1	1568680012
528.0000000000000000	1.0000000000000000	1201	0	1601	0.333333 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 16 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_039.txt	000011	0	1568680017
414.0000000000000000	1.0000000000000000	1201	1	1601	0.333333 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 20 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_040.txt	001001	1	1568680021
580.0000000000000000	1.0000000000000000	1201	0	1601	0.666667 	 GenLen: 	 6 	 PFSize: 	 2 	 HypVol: 	 1139.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 25.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 55 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_maxcut_6_041.txt	110101	0	1568680035
