3809.5000000000000000	1.0000000000000000	5523	16	32535991	0.610000 	 GenLen: 	 100 	 PFSize: 	 90 	 HypVol: 	 13034339.00000000 	 IGD: 	 463.85833333 	 GD: 	 571.94444444 	 MaxSpread: 	 1847300.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 22395659 	 LastPfUpdateTime: 	 5375.16 	LogFile:	_mogomea_knap_100_023.txt	0101110110000111111101111001110101010101110110010110111111101110011101011100110101110010110000110001	5459	1568737788
3690.0000000000000000	1.0000000000000000	3891	14	27303277	0.590000 	 GenLen: 	 100 	 PFSize: 	 103 	 HypVol: 	 12994173.00000000 	 IGD: 	 13.93333333 	 GD: 	 48.32038835 	 MaxSpread: 	 1844714.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 22179061 	 LastPfUpdateTime: 	 3353.94 	LogFile:	_mogomea_knap_100_024.txt	0101110100000111011101111000110111010110010110001110111110101111001111011100110111110000111000110001	3380	1568737882
3718.0000000000000000	1.0000000000000000	67336	120	27927401	0.590000 	 GenLen: 	 100 	 PFSize: 	 109 	 HypVol: 	 12977963.00000000 	 IGD: 	 25.47500000 	 GD: 	 9.09174312 	 MaxSpread: 	 1738645.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 21764017 	 LastPfUpdateTime: 	 3326.01 	LogFile:	_mogomea_knap_100_025.txt	0001110101010111111101111001110111010111110110000110111110101111001101001100110101110000110000110001	3357	1568737890
3740.0000000000000000	1.0000000000000000	86544	112	25615002	0.590000 	 GenLen: 	 100 	 PFSize: 	 90 	 HypVol: 	 12983570.00000000 	 IGD: 	 89.28333333 	 GD: 	 60.96666667 	 MaxSpread: 	 1738645.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 25530460 	 LastPfUpdateTime: 	 3616.76 	LogFile:	_mogomea_knap_100_026.txt	0001110110000111111101011001110111010100110111001110111110111111011101001100110110110000110000110001	3619	1568737982
3751.5000000000000000	1.0000000000000000	166877	118	27654404	0.590000 	 GenLen: 	 100 	 PFSize: 	 102 	 HypVol: 	 12995207.00000000 	 IGD: 	 29.91666667 	 GD: 	 61.29411765 	 MaxSpread: 	 1844714.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 23182172 	 LastPfUpdateTime: 	 3259.54 	LogFile:	_mogomea_knap_100_027.txt	0001110101010111101101111001110011010111110110000110111110101111011101011100110101110000110000110001	3283	1568738077
3699.5000000000000000	1.0000000000000000	219901	102	27349024	0.570000 	 GenLen: 	 100 	 PFSize: 	 111 	 HypVol: 	 12978982.00000000 	 IGD: 	 37.85000000 	 GD: 	 22.71171171 	 MaxSpread: 	 1738645.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 20882315 	 LastPfUpdateTime: 	 3337.54 	LogFile:	_mogomea_knap_100_028.txt	0001110110010111111101111001110011000111110110001110111101101111000101011100110100110000110000110001	3372	1568738146
3694.0000000000000000	1.0000000000000000	106786	85	27714700	0.590000 	 GenLen: 	 100 	 PFSize: 	 113 	 HypVol: 	 12978024.00000000 	 IGD: 	 18.21666667 	 GD: 	 11.69911504 	 MaxSpread: 	 1738645.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 19975552 	 LastPfUpdateTime: 	 2976.09 	LogFile:	_mogomea_knap_100_029.txt	0001110101010111101101111000110111010110110110001110111111101111010101011100110101110000110000110001	3398	1568738201
3739.0000000000000000	1.0000000000000000	13022	35	25622166	0.590000 	 GenLen: 	 100 	 PFSize: 	 97 	 HypVol: 	 12997683.00000000 	 IGD: 	 33.87500000 	 GD: 	 9.60824742 	 MaxSpread: 	 1706256.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 19409337 	 LastPfUpdateTime: 	 3280.36 	LogFile:	_mogomea_knap_100_030.txt	0001110101010111111111111001110111010110110110000110111101101110011101011100110100110010110000010001	3312	1568738207
3744.0000000000000000	1.0000000000000000	7758	18	25741335	0.590000 	 GenLen: 	 100 	 PFSize: 	 107 	 HypVol: 	 12995282.00000000 	 IGD: 	 29.59166667 	 GD: 	 53.85981308 	 MaxSpread: 	 1844714.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 18837224 	 LastPfUpdateTime: 	 3102.69 	LogFile:	_mogomea_knap_100_031.txt	0001110111100111011001111001110111010111110110010110111101101110011101011100110100110000110000110001	3329	1568738214
3719.0000000000000000	1.0000000000000000	141734	83	28642803	0.590000 	 GenLen: 	 100 	 PFSize: 	 103 	 HypVol: 	 12978648.00000000 	 IGD: 	 35.99166667 	 GD: 	 17.10679612 	 MaxSpread: 	 1738645.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 21582206 	 LastPfUpdateTime: 	 3219.26 	LogFile:	_mogomea_knap_100_032.txt	0001110110000111011101111001010010010100110110011110111111101111011101011100110111110010110000110001	3307	1568738220
