4240.4794921875000000	1.0000000000000000	1768790	240	25000476	0.690000 	 GenLen: 	 100 	 PFSize: 	 74 	 HypVol: 	 13290295.00000000 	 IGD: 	 1440.14166667 	 GD: 	 1244.75675676 	 MaxSpread: 	 1586933.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 24443830 	 LastPfUpdateTime: 	 3684.59 	LogFile:	_mop3_knap_100_021.txt	0111110110100001001110011101000111011101011111110111110111111110111111011111110010111010111000110111	3795	1568716363
4241.9702148437500000	1.0000000000000000	19997828	2915	25000468	0.690000 	 GenLen: 	 100 	 PFSize: 	 68 	 HypVol: 	 13253799.00000000 	 IGD: 	 1391.50000000 	 GD: 	 1284.00000000 	 MaxSpread: 	 1879400.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 24963570 	 LastPfUpdateTime: 	 3837.16 	LogFile:	_mop3_knap_100_022.txt	1101111110101001001111011001101111010101010101110111110111111110111111001101111000110011111010110111	3852	1568716577
4230.5605468750000000	1.0000000000000000	10752916	1501	25000062	0.710000 	 GenLen: 	 100 	 PFSize: 	 61 	 HypVol: 	 13255137.00000000 	 IGD: 	 1347.54166667 	 GD: 	 992.45901639 	 MaxSpread: 	 1721017.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 23883162 	 LastPfUpdateTime: 	 3639.09 	LogFile:	_mop3_knap_100_023.txt	1111111110100001001110011011101111110101011101110111110101111110111110001101111000011111111011110111	3861	1568716614
4225.0024414062500000	1.0000000000000000	9931742	1394	25000604	0.660000 	 GenLen: 	 100 	 PFSize: 	 68 	 HypVol: 	 13263639.00000000 	 IGD: 	 1883.66666667 	 GD: 	 755.17647059 	 MaxSpread: 	 1376825.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 24718636 	 LastPfUpdateTime: 	 3870.78 	LogFile:	_mop3_knap_100_024.txt	1111110110100001011110011011000111011101011111010110110111111110111111001101110000111011111000110011	3942	1568716710
4221.7036132812500000	1.0000000000000000	9791636	1369	25000690	0.650000 	 GenLen: 	 100 	 PFSize: 	 63 	 HypVol: 	 13246832.00000000 	 IGD: 	 1066.34166667 	 GD: 	 789.80952381 	 MaxSpread: 	 1533780.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 24275144 	 LastPfUpdateTime: 	 3760.43 	LogFile:	_mop3_knap_100_025.txt	0101111110100001001110111001101111010101011101010111110111111110111111001101110000010111111000110111	3931	1568716718
4240.5668945312500000	1.0000000000000000	22563092	3431	25000054	0.650000 	 GenLen: 	 100 	 PFSize: 	 71 	 HypVol: 	 13264337.00000000 	 IGD: 	 1604.47500000 	 GD: 	 1087.09859155 	 MaxSpread: 	 1456925.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 23761442 	 LastPfUpdateTime: 	 3645.86 	LogFile:	_mop3_knap_100_026.txt	0101110110100001001110011101101011110101011111110110110111111110111111001101111000010011111001110101	3926	1568716740
4233.8520507812500000	1.0000000000000000	12471354	1746	25000160	0.660000 	 GenLen: 	 100 	 PFSize: 	 75 	 HypVol: 	 13257671.00000000 	 IGD: 	 1657.35000000 	 GD: 	 929.16000000 	 MaxSpread: 	 1419725.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 24644968 	 LastPfUpdateTime: 	 3879.70 	LogFile:	_mop3_knap_100_027.txt	0111111110100001001110111101100111011101010111010111110111111110111111001101111000010010111010110011	3965	1568716748
4229.5878906250000000	1.0000000000000000	5559356	785	25000374	0.640000 	 GenLen: 	 100 	 PFSize: 	 73 	 HypVol: 	 13289508.00000000 	 IGD: 	 1697.70000000 	 GD: 	 996.73972603 	 MaxSpread: 	 1583761.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 24549026 	 LastPfUpdateTime: 	 3889.99 	LogFile:	_mop3_knap_100_028.txt	0111110110100001001110011011001111010101010101110111111111111110111111001101110000110010111000110111	3998	1568716789
4253.0009765625000000	1.0000000000000000	20336404	4598	25000726	0.690000 	 GenLen: 	 100 	 PFSize: 	 68 	 HypVol: 	 13253668.00000000 	 IGD: 	 1261.43333333 	 GD: 	 892.50000000 	 MaxSpread: 	 1513738.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 24728788 	 LastPfUpdateTime: 	 5588.59 	LogFile:	_mop3_knap_100_029.txt	1101110110101001001110011101100011011101010111010101110111111110111111011111111000110111111010110111	5648	1568719042
4249.4184570312500000	1.0000000000000000	7091846	1331	25000296	0.670000 	 GenLen: 	 100 	 PFSize: 	 70 	 HypVol: 	 13275359.00000000 	 IGD: 	 1540.82500000 	 GD: 	 1163.31428571 	 MaxSpread: 	 1490057.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 23832950 	 LastPfUpdateTime: 	 5451.96 	LogFile:	_mop3_knap_100_030.txt	0111111110100001001110011101101011110101011111010110110111111110111110001101110000110111111001110111	5683	1568719048
