24.860292	25.000000	1104	0	1214	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1204  	LogFile:	_mop3ok_t5_it5_25_033.txt	1111111111111111111111111	0	1563058042
24.955782	25.000000	596	0	810	0.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 806  	LogFile:	_mop3ok_t5_it5_25_034.txt	0000000000000000000000000	0	1563058047
23.761694	25.000000	716	0	716	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 712  	LogFile:	_mop3ok_t5_it5_25_035.txt	1111111111111111111111111	0	1563058052
24.787319	25.000000	806	0	806	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 800  	LogFile:	_mop3ok_t5_it5_25_036.txt	1111111111111111111111111	0	1563058057
24.464842	25.000000	384	0	700	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 696  	LogFile:	_mop3ok_t5_it5_25_037.txt	1111111111111111111111111	0	1563058062
24.814041	25.000000	1214	0	1432	0.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1426  	LogFile:	_mop3ok_t5_it5_25_038.txt	0000000000000000000000000	0	1563058067
24.383120	25.000000	198	0	604	0.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 600  	LogFile:	_mop3ok_t5_it5_25_039.txt	0000000000000000000000000	0	1563058075
24.187529	25.000000	520	0	520	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 516  	LogFile:	_mop3ok_t5_it5_25_040.txt	1111111111111111111111111	0	1563058080
24.954155	25.000000	470	0	886	0.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 882  	LogFile:	_mop3ok_t5_it5_25_041.txt	0000000000000000000000000	0	1563058085
24.291021	25.000000	694	0	1010	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1008  	LogFile:	_mop3ok_t5_it5_25_042.txt	1111111111111111111111111	0	1563058090
24.977823	25.000000	584	0	804	0.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 794  	LogFile:	_mop3ok_t5_it5_25_043.txt	0000000000000000000000000	0	1563058095
