0.841045	1.000000	1006	0	1618	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1570  	LogFile:	_mop3ok_lotz_25_027.txt	1111111111111111111111111	0	1563056696
0.974987	1.000000	1070	0	2080	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2032  	LogFile:	_mop3ok_lotz_25_028.txt	0000000000000000000000000	0	1563056701
0.991021	1.000000	976	0	2122	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2074  	LogFile:	_mop3ok_lotz_25_029.txt	0000000000000000000000000	0	1563056706
0.886593	1.000000	696	0	3154	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 3106  	LogFile:	_mop3ok_lotz_25_030.txt	1111111111111111111111111	0	1563056711
0.612415	1.000000	550	0	2078	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1786  	LogFile:	_mop3ok_lotz_25_031.txt	1111111111111111111111111	0	1563056716
0.919121	1.000000	912	0	1524	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1476  	LogFile:	_mop3ok_lotz_25_032.txt	0000000000000000000000000	0	1563056721
0.935881	1.000000	640	0	1216	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1168  	LogFile:	_mop3ok_lotz_25_033.txt	0000000000000000000000000	0	1563056726
0.981581	1.000000	1344	0	3194	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 3146  	LogFile:	_mop3ok_lotz_25_034.txt	1111111111111111111111111	0	1563056731
0.762360	1.000000	1658	0	2172	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2124  	LogFile:	_mop3ok_lotz_25_035.txt	1111111111111111111111111	0	1563056736
0.987109	1.000000	5222	0	5222	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 4900  	LogFile:	_mop3ok_lotz_25_036.txt	1111111111111111111111111	0	1563056741
0.935094	1.000000	1134	0	3738	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 3454  	LogFile:	_mop3ok_lotz_25_037.txt	1111111111111111111111111	0	1563056749
0.800939	1.000000	1004	0	1518	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1470  	LogFile:	_mop3ok_lotz_25_038.txt	0000000000000000000000000	0	1563056754
0.945219	1.000000	634	0	1180	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1132  	LogFile:	_mop3ok_lotz_25_039.txt	0000000000000000000000000	0	1563056759
0.960204	1.000000	6854	0	7720	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 7672  	LogFile:	_mop3ok_lotz_25_040.txt	1111111111111111111111111	0	1563056764
0.960844	1.000000	1936	0	1936	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1534  	LogFile:	_mop3ok_lotz_25_041.txt	1111111111111111111111111	0	1563056769
0.768278	1.000000	1986	0	1986	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1938  	LogFile:	_mop3ok_lotz_25_042.txt	1111111111111111111111111	0	1563056774
0.989057	1.000000	1366	0	1780	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1732  	LogFile:	_mop3ok_lotz_25_043.txt	1111111111111111111111111	0	1563056779
0.794242	1.000000	994	0	994	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 946  	LogFile:	_mop3ok_lotz_25_044.txt	0000000000000000000000000	0	1563056784
0.881919	1.000000	1984	0	1984	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1874  	LogFile:	_mop3ok_lotz_25_045.txt	1111111111111111111111111	0	1563056789
0.948607	1.000000	1592	0	2192	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2144  	LogFile:	_mop3ok_lotz_25_046.txt	0000000000000000000000000	0	1563056794
0.861660	1.000000	676	0	1170	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1122  	LogFile:	_mop3ok_lotz_25_047.txt	1111111111111111111111111	0	1563056799
0.998730	1.000000	1020	0	1536	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1488  	LogFile:	_mop3ok_lotz_25_048.txt	1111111111111111111111111	1	1563056804
0.983513	1.000000	3094	1	4612	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 4564  	LogFile:	_mop3ok_lotz_25_049.txt	1111111111111111111111111	1	1563056812
0.897488	1.000000	5634	1	7560	1.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 0.51000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 7462  	LogFile:	_mop3ok_lotz_50_000.txt	11111111111111111111111111111111111111111111111111	1	1563056817
0.976185	1.000000	13666	1	13666	1.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 0.51000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 13568  	LogFile:	_mop3ok_lotz_50_001.txt	11111111111111111111111111111111111111111111111111	1	1563056822
0.961733	1.000000	5472	1	7748	0.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 0.51000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 7650  	LogFile:	_mop3ok_lotz_50_002.txt	00000000000000000000000000000000000000000000000000	1	1563056827
0.957689	1.000000	8382	0	8382	0.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 0.51000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 8284  	LogFile:	_mop3ok_lotz_50_003.txt	00000000000000000000000000000000000000000000000000	1	1563056832
0.990228	1.000000	10456	0	16220	0.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 0.51000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 16122  	LogFile:	_mop3ok_lotz_50_004.txt	00000000000000000000000000000000000000000000000000	0	1563056838
0.957497	1.000000	8990	0	15896	1.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 0.51000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 15798  	LogFile:	_mop3ok_lotz_50_005.txt	11111111111111111111111111111111111111111111111111	0	1563056843
0.941909	1.000000	15660	0	22314	1.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 0.51000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 22216  	LogFile:	_mop3ok_lotz_50_006.txt	11111111111111111111111111111111111111111111111111	0	1563056848
0.743197	1.000000	4214	0	8408	0.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 0.51000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 8310  	LogFile:	_mop3ok_lotz_50_007.txt	00000000000000000000000000000000000000000000000000	0	1563056853
0.973266	1.000000	1802	0	7794	0.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 0.51000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 7696  	LogFile:	_mop3ok_lotz_50_008.txt	00000000000000000000000000000000000000000000000000	0	1563056858
0.984619	1.000000	3642	0	6970	0.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 0.51000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 6200  	LogFile:	_mop3ok_lotz_50_009.txt	00000000000000000000000000000000000000000000000000	0	1563056863
0.984237	1.000000	12770	0	25798	1.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 0.51000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 24482  	LogFile:	_mop3ok_lotz_50_010.txt	11111111111111111111111111111111111111111111111111	0	1563056868
0.911926	1.000000	4416	0	11900	1.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 0.51000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 11802  	LogFile:	_mop3ok_lotz_50_011.txt	11111111111111111111111111111111111111111111111111	0	1563056876
0.903909	1.000000	4162	0	11260	1.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 0.51000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 11162  	LogFile:	_mop3ok_lotz_50_012.txt	11111111111111111111111111111111111111111111111111	0	1563056881
0.995399	1.000000	16186	0	45636	0.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 0.51000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 45538  	LogFile:	_mop3ok_lotz_50_013.txt	00000000000000000000000000000000000000000000000000	0	1563056886
0.982635	1.000000	1848	0	9128	0.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 0.51000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 9030  	LogFile:	_mop3ok_lotz_50_014.txt	00000000000000000000000000000000000000000000000000	0	1563056891
0.853640	1.000000	6744	0	17780	1.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 0.51000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 17682  	LogFile:	_mop3ok_lotz_50_015.txt	11111111111111111111111111111111111111111111111111	0	1563056896
0.967362	1.000000	11210	0	29518	0.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 0.51000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 29420  	LogFile:	_mop3ok_lotz_50_016.txt	00000000000000000000000000000000000000000000000000	0	1563056901
0.836174	1.000000	4100	0	6342	0.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 0.51000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 6244  	LogFile:	_mop3ok_lotz_50_017.txt	00000000000000000000000000000000000000000000000000	0	1563056906
