19.616047	25.000000	590	0	788	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 740  	LogFile:	_mop3ok_01max_25_027.txt	0000000000000000000000000	0	1563055380
24.737541	25.000000	100	0	594	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 546  	LogFile:	_mop3ok_01max_25_028.txt	1111111111111111111111111	0	1563055385
17.883846	25.000000	100	0	494	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 446  	LogFile:	_mop3ok_01max_25_029.txt	1111111111111111111111111	0	1563055390
23.992279	25.000000	886	0	1068	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1020  	LogFile:	_mop3ok_01max_25_030.txt	0000000000000000000000000	0	1563055395
24.279091	25.000000	198	0	298	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 250  	LogFile:	_mop3ok_01max_25_031.txt	0000000000000000000000000	0	1563055400
22.323526	25.000000	100	0	298	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 226  	LogFile:	_mop3ok_01max_25_032.txt	1111111111111111111111111	0	1563055405
24.039797	25.000000	686	0	984	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 936  	LogFile:	_mop3ok_01max_25_033.txt	1111111111111111111111111	0	1563055410
24.481583	25.000000	194	0	290	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 242  	LogFile:	_mop3ok_01max_25_034.txt	0000000000000000000000000	0	1563055415
23.477097	25.000000	196	0	390	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 342  	LogFile:	_mop3ok_01max_25_035.txt	1111111111111111111111111	0	1563055423
14.203315	25.000000	100	0	200	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 152  	LogFile:	_mop3ok_01max_25_036.txt	0000000000000000000000000	0	1563055428
