272.0000000000000000	25.0000000000000000	1401092	641	25000342	0.600000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 156.00000000 	 IGD: 	 18.00000000 	 GD: 	 18.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 23636174 	 LastPfUpdateTime: 	 11423.41 	LogFile:	_nsga2_400pop_t5_it5_25__025.txt	1111111110000000000111111	12146	1568605939
266.0000000000000000	25.0000000000000000	10158130	4566	25000342	0.520000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 156.00000000 	 IGD: 	 18.00000000 	 GD: 	 18.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 17265306 	 LastPfUpdateTime: 	 8161.58 	LogFile:	_nsga2_400pop_t5_it5_25__026.txt	1000001010111111111100000	12126	1568605965
270.0000000000000000	25.0000000000000000	10234721	4668	25000342	0.440000 	 GenLen: 	 25 	 PFSize: 	 5 	 HypVol: 	 173.00000000 	 IGD: 	 18.33333333 	 GD: 	 18.00000000 	 MaxSpread: 	 32.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 18524478 	 LastPfUpdateTime: 	 8897.79 	LogFile:	_nsga2_400pop_t5_it5_25__027.txt	0000010110111110011100000	12257	1568606037
272.0000000000000000	25.0000000000000000	1662544	759	25000342	0.360000 	 GenLen: 	 25 	 PFSize: 	 5 	 HypVol: 	 173.00000000 	 IGD: 	 18.33333333 	 GD: 	 18.00000000 	 MaxSpread: 	 32.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 20075209 	 LastPfUpdateTime: 	 9657.44 	LogFile:	_nsga2_400pop_t5_it5_25__028.txt	1111100000010011100000000	12195	1568606076
272.0000000000000000	25.0000000000000000	15610126	7381	25000342	0.640000 	 GenLen: 	 25 	 PFSize: 	 1 	 HypVol: 	 119.00000000 	 IGD: 	 6.33333333 	 GD: 	 0.00000000 	 MaxSpread: 	 0.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 16845154 	 LastPfUpdateTime: 	 8045.77 	LogFile:	_nsga2_400pop_t5_it5_25__029.txt	0101011111111111011100000	12230	1568606092
270.0000000000000000	25.0000000000000000	2991859	1351	25000342	0.560000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 156.00000000 	 IGD: 	 18.00000000 	 GD: 	 18.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 13064657 	 LastPfUpdateTime: 	 6124.25 	LogFile:	_nsga2_400pop_t5_it5_25__030.txt	0011011111111110000001010	12240	1568606125
380.0000000000000000	25.0000000000000000	14822562	6962	25000342	0.280000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 156.00000000 	 IGD: 	 18.00000000 	 GD: 	 18.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 13806380 	 LastPfUpdateTime: 	 6456.15 	LogFile:	_nsga2_400pop_t5_it5_25__031.txt	0110011111000000000000000	12201	1568606145
272.0000000000000000	25.0000000000000000	8283856	3690	25000342	0.600000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 141.00000000 	 IGD: 	 18.33333333 	 GD: 	 18.33333333 	 MaxSpread: 	 72.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 19209380 	 LastPfUpdateTime: 	 9223.88 	LogFile:	_nsga2_400pop_t5_it5_25__032.txt	0001111100000001111111111	12219	1568606169
272.0000000000000000	25.0000000000000000	10146100	4611	25000342	0.600000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 156.00000000 	 IGD: 	 18.00000000 	 GD: 	 18.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 18793591 	 LastPfUpdateTime: 	 9019.58 	LogFile:	_nsga2_400pop_t5_it5_25__033.txt	1011011111010011111100000	12227	1568606204
272.0000000000000000	25.0000000000000000	9211369	4150	25000342	0.600000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 156.00000000 	 IGD: 	 18.00000000 	 GD: 	 18.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 18963700 	 LastPfUpdateTime: 	 9105.97 	LogFile:	_nsga2_400pop_t5_it5_25__034.txt	1111100001111110000001111	12218	1568606224
272.0000000000000000	25.0000000000000000	15870776	7531	25000342	0.400000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 157.00000000 	 IGD: 	 18.33333333 	 GD: 	 18.33333333 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 23519669 	 LastPfUpdateTime: 	 11488.91 	LogFile:	_nsga2_400pop_t5_it5_25__035.txt	0000000000000110110111111	12248	1568606243
272.0000000000000000	25.0000000000000000	6789329	3012	25000342	0.360000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 141.00000000 	 IGD: 	 18.33333333 	 GD: 	 18.33333333 	 MaxSpread: 	 72.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 21739004 	 LastPfUpdateTime: 	 10526.73 	LogFile:	_nsga2_400pop_t5_it5_25__036.txt	0000011111011000010100000	12212	1568606263
272.0000000000000000	25.0000000000000000	7130580	3173	25000342	0.600000 	 GenLen: 	 25 	 PFSize: 	 4 	 HypVol: 	 190.00000000 	 IGD: 	 18.66666667 	 GD: 	 18.00000000 	 MaxSpread: 	 18.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 16348662 	 LastPfUpdateTime: 	 7839.85 	LogFile:	_nsga2_400pop_t5_it5_25__037.txt	1111101110010011111100000	12284	1568606607
270.0000000000000000	25.0000000000000000	5970888	2649	25000342	0.320000 	 GenLen: 	 25 	 PFSize: 	 1 	 HypVol: 	 119.00000000 	 IGD: 	 6.33333333 	 GD: 	 0.00000000 	 MaxSpread: 	 0.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 6359464 	 LastPfUpdateTime: 	 2826.95 	LogFile:	_nsga2_400pop_t5_it5_25__038.txt	1111101100100000000000000	12076	1568606899
272.0000000000000000	25.0000000000000000	2831860	1273	25000342	0.840000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 157.00000000 	 IGD: 	 18.33333333 	 GD: 	 18.33333333 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 22535647 	 LastPfUpdateTime: 	 11027.98 	LogFile:	_nsga2_400pop_t5_it5_25__039.txt	0111100011111111111111111	12315	1568607009
272.0000000000000000	25.0000000000000000	1263950	589	25000342	0.640000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 156.00000000 	 IGD: 	 18.00000000 	 GD: 	 18.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 10330420 	 LastPfUpdateTime: 	 4818.81 	LogFile:	_nsga2_400pop_t5_it5_25__040.txt	0000011100111111111101101	12355	1568607088
272.0000000000000000	25.0000000000000000	5157660	2297	25000342	0.400000 	 GenLen: 	 25 	 PFSize: 	 5 	 HypVol: 	 173.00000000 	 IGD: 	 18.33333333 	 GD: 	 18.00000000 	 MaxSpread: 	 32.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 15859482 	 LastPfUpdateTime: 	 7741.98 	LogFile:	_nsga2_400pop_t5_it5_25__041.txt	1001011111000000000010011	12491	1568607159
272.0000000000000000	25.0000000000000000	16079296	7885	25000342	0.840000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 156.00000000 	 IGD: 	 18.00000000 	 GD: 	 18.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 19790048 	 LastPfUpdateTime: 	 9792.40 	LogFile:	_nsga2_400pop_t5_it5_25__042.txt	1111111111100011111111110	12512	1568607846
272.0000000000000000	25.0000000000000000	1514976	694	25000342	0.600000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 156.00000000 	 IGD: 	 18.00000000 	 GD: 	 18.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 16006928 	 LastPfUpdateTime: 	 7851.62 	LogFile:	_nsga2_400pop_t5_it5_25__043.txt	1101111111000011111100000	12514	1568607906
272.0000000000000000	25.0000000000000000	7135793	3468	25000342	0.400000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 156.00000000 	 IGD: 	 18.00000000 	 GD: 	 18.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 23744339 	 LastPfUpdateTime: 	 12050.22 	LogFile:	_nsga2_400pop_t5_it5_25__044.txt	0000011111000000001011011	12710	1568608343
272.0000000000000000	25.0000000000000000	12309495	6029	25000342	0.360000 	 GenLen: 	 25 	 PFSize: 	 5 	 HypVol: 	 173.00000000 	 IGD: 	 18.33333333 	 GD: 	 18.00000000 	 MaxSpread: 	 32.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 7905212 	 LastPfUpdateTime: 	 3803.55 	LogFile:	_nsga2_400pop_t5_it5_25__045.txt	0000011111101000000010001	12623	1568608369
380.0000000000000000	25.0000000000000000	3623033	1710	25000342	0.720000 	 GenLen: 	 25 	 PFSize: 	 5 	 HypVol: 	 173.00000000 	 IGD: 	 18.33333333 	 GD: 	 18.00000000 	 MaxSpread: 	 32.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 21264373 	 LastPfUpdateTime: 	 10797.31 	LogFile:	_nsga2_400pop_t5_it5_25__046.txt	1111111111110101111100000	12772	1568608401
272.0000000000000000	25.0000000000000000	8477539	4157	25000342	0.600000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 156.00000000 	 IGD: 	 18.00000000 	 GD: 	 18.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 18195797 	 LastPfUpdateTime: 	 9134.13 	LogFile:	_nsga2_400pop_t5_it5_25__047.txt	0000011111011110010011111	12696	1568608449
272.0000000000000000	25.0000000000000000	171225	119	25000342	0.600000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 141.00000000 	 IGD: 	 18.33333333 	 GD: 	 18.33333333 	 MaxSpread: 	 72.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 23798368 	 LastPfUpdateTime: 	 11978.46 	LogFile:	_nsga2_400pop_t5_it5_25__048.txt	1111111111010101011000000	12609	1568608481
272.0000000000000000	25.0000000000000000	5216607	2586	25000342	0.600000 	 GenLen: 	 25 	 PFSize: 	 4 	 HypVol: 	 190.00000000 	 IGD: 	 18.66666667 	 GD: 	 18.00000000 	 MaxSpread: 	 18.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 17205196 	 LastPfUpdateTime: 	 8658.01 	LogFile:	_nsga2_400pop_t5_it5_25__049.txt	1100001110000001111111111	12725	1568609090
720.0000000000000000	50.0000000000000000	11948996	6202	25000342	0.320000 	 GenLen: 	 50 	 PFSize: 	 8 	 HypVol: 	 1399.00000000 	 IGD: 	 455.81818182 	 GD: 	 525.50000000 	 MaxSpread: 	 260.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 19927345 	 LastPfUpdateTime: 	 10464.59 	LogFile:	_nsga2_400pop_t5_it5_50__000.txt	00100000000000000000000001101010101101111000101110	13218	1568609107
729.0000000000000000	50.0000000000000000	7829924	4225	25000342	0.380000 	 GenLen: 	 50 	 PFSize: 	 4 	 HypVol: 	 1352.00000000 	 IGD: 	 316.00000000 	 GD: 	 560.50000000 	 MaxSpread: 	 234.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 22435654 	 LastPfUpdateTime: 	 12033.81 	LogFile:	_nsga2_400pop_t5_it5_50__001.txt	11101000000000010010110001111101010000000101001010	13429	1568609795
576.0000000000000000	50.0000000000000000	18008106	9682	25000342	0.680000 	 GenLen: 	 50 	 PFSize: 	 7 	 HypVol: 	 1378.00000000 	 IGD: 	 467.09090909 	 GD: 	 596.57142857 	 MaxSpread: 	 512.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 17515091 	 LastPfUpdateTime: 	 9413.74 	LogFile:	_nsga2_400pop_t5_it5_50__002.txt	10111111110011111111111110101101010010110100010011	13479	1568609800
728.0000000000000000	50.0000000000000000	17877781	9637	25000342	0.760000 	 GenLen: 	 50 	 PFSize: 	 7 	 HypVol: 	 1431.00000000 	 IGD: 	 461.09090909 	 GD: 	 564.57142857 	 MaxSpread: 	 218.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 21812625 	 LastPfUpdateTime: 	 11781.47 	LogFile:	_nsga2_400pop_t5_it5_50__003.txt	11000110001111101011111111111011111101110011111111	13516	1568609805
720.0000000000000000	50.0000000000000000	17652419	9507	25000342	0.560000 	 GenLen: 	 50 	 PFSize: 	 9 	 HypVol: 	 1410.00000000 	 IGD: 	 465.45454545 	 GD: 	 640.00000000 	 MaxSpread: 	 666.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 16658495 	 LastPfUpdateTime: 	 8963.02 	LogFile:	_nsga2_400pop_t5_it5_50__004.txt	11011101100000011111000110100011111011000001011111	13516	1568609812
576.0000000000000000	50.0000000000000000	2030662	1244	25000342	0.560000 	 GenLen: 	 50 	 PFSize: 	 5 	 HypVol: 	 1266.00000000 	 IGD: 	 340.00000000 	 GD: 	 503.60000000 	 MaxSpread: 	 410.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 21409360 	 LastPfUpdateTime: 	 11531.92 	LogFile:	_nsga2_400pop_t5_it5_50__005.txt	00000100100011010111101000010011111010111111111011	13480	1568609818
576.0000000000000000	50.0000000000000000	490822	469	25000342	0.560000 	 GenLen: 	 50 	 PFSize: 	 5 	 HypVol: 	 1370.00000000 	 IGD: 	 461.81818182 	 GD: 	 570.80000000 	 MaxSpread: 	 356.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 13459900 	 LastPfUpdateTime: 	 7289.02 	LogFile:	_nsga2_400pop_t5_it5_50__006.txt	10001000000111001100111110010011101000111110111111	13544	1568609824
