0.134722	1.000000	1629	0	32930127	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1296  	LogFile:	_mogomea_zz_paint_06_02__027.txt	0010100000001101000010001100100010010000001110	835	1555433252
0.134722	1.000000	1848	0	33018570	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1335  	LogFile:	_mogomea_zz_paint_06_02__028.txt	0001010000001101000100000111000000101001010001	866	1555433261
0.134722	1.000000	385	0	32893346	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1807  	LogFile:	_mogomea_zz_paint_06_02__029.txt	0001100000001100001100011001000000101000100101	850	1555433269
0.134722	1.000000	366	0	32870378	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 3433  	LogFile:	_mogomea_zz_paint_06_02__030.txt	0001100000001100001100001100100000101000101010	799	1555433405
0.134722	1.000000	1801	0	25457266	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2748  	LogFile:	_mogomea_zz_paint_06_02__031.txt	0100100000001100001011100001000000101000001110	263	1555433729
0.134722	1.000000	384	0	26311383	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 5341  	LogFile:	_mogomea_zz_paint_06_02__032.txt	0001100000001110000100101000100000110010100010	177	1555433884
0.134722	1.000000	1860	0	25213804	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 3776  	LogFile:	_mogomea_zz_paint_06_02__033.txt	0001010000001100001010011001000000101000010110	261	1555433952
0.134722	1.000000	380	0	27334291	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 295  	LogFile:	_mogomea_zz_paint_06_02__034.txt	0010010000001100010010001101000100010010001010	186	1555433994
0.134722	1.000000	10	0	33005023	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2142  	LogFile:	_mogomea_zz_paint_06_02__035.txt	0010010000001110000100000110100000110000001101	824	1555434062
0.134722	1.000000	378	0	32998638	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1889  	LogFile:	_mogomea_zz_paint_06_02__036.txt	0100100000001110000100011000100000110000011010	855	1555434090
0.134722	1.000000	382	0	25556325	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 4474  	LogFile:	_mogomea_zz_paint_06_02__037.txt	0010010000001101000100000110100001001010000110	274	1555434123
0.134722	1.000000	400	0	32939966	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1285  	LogFile:	_mogomea_zz_paint_06_02__038.txt	0001100000001100001010000110100001001101000010	851	1555434131
0.134722	1.000000	375	0	32970184	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1659  	LogFile:	_mogomea_zz_paint_06_02__039.txt	0010010000001110000101000100101000001000001101	856	1555434182
