0.238077	1.000000	20764104	70	25001016	0.542857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2352  	LogFile:	_mop3ok_zz_paint_08_02__001.txt	1001100011101110111011001111011110010100110110000110010100001011010110	84	1555432702
0.238051	1.000000	18470246	62	25000054	0.471429 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1272  	LogFile:	_mop3ok_zz_paint_08_02__002.txt	0011010011001100001101010010101100010011001110001100111100101100010101	86	1555432788
0.238095	1.000000	5042424	24	25000714	0.528571 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 20724  	LogFile:	_mop3ok_zz_paint_08_02__003.txt	0100011010011011110101101100111011000111110101110010010101000110001001	90	1555432875
0.238095	1.000000	16976432	55	25000824	0.485714 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 13624  	LogFile:	_mop3ok_zz_paint_08_02__004.txt	1101001100001111110010100110000011101000011000001000110100111110011101	80	1555432968
0.238062	1.000000	15693470	64	25001200	0.600000 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 21348  	LogFile:	_mop3ok_zz_paint_08_02__005.txt	1111100111001111111010100011001101010110100110010100011101111100111010	99	1555433049
0.238015	1.000000	15256984	66	25001298	0.485714 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 12766  	LogFile:	_mop3ok_zz_paint_08_02__006.txt	0000010010001100111101100010100010110011100110011010001011111011100110	100	1555433150
0.238095	1.000000	8881482	39	25000098	0.414286 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 11620  	LogFile:	_mop3ok_zz_paint_08_02__007.txt	0100011000010000100011011100110100100010101100110101110011000010110000	104	1555433252
0.238073	1.000000	4312066	28	25000030	0.500000 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 12618  	LogFile:	_mop3ok_zz_paint_08_02__008.txt	0000011110011110001011111100111100001101110001100100100011010101010001	104	1555433356
0.238095	1.000000	2978166	13	25000918	0.457143 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 13232  	LogFile:	_mop3ok_zz_paint_08_02__009.txt	0011100110010111101001000000110100110010010100110000001101101100011101	92	1555433463
0.238095	1.000000	14496862	64	25001678	0.328571 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 4542  	LogFile:	_mop3ok_zz_paint_08_02__010.txt	1001000000010001101011001100001000100100010001000000100010011110101000	100	1555433555
