7030432.0000000000000000	1.0000000000000000	1201	0	25000342	0.490000 	 GenLen: 	 100 	 PFSize: 	 4 	 HypVol: 	 18528013.00000000 	 IGD: 	 631892.55000000 	 GD: 	 643756.00000000 	 MaxSpread: 	 401796.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1185 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_023.txt	0100001100111111100001001010001111010110111001100111001101111011010000010001100110110110000011000001	15515	1568661967
8892288.0000000000000000	1.0000000000000000	1201	0	25000342	0.560000 	 GenLen: 	 100 	 PFSize: 	 4 	 HypVol: 	 18658530.00000000 	 IGD: 	 697851.17500000 	 GD: 	 667834.25000000 	 MaxSpread: 	 396925.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 659 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_knap_100_024.txt	0101010011011101110111101001001111011110001100010111010110100111001010101011011100001111010101101000	15552	1568661972
8053220.0000000000000000	1.0000000000000000	1602	0	25000342	0.510000 	 GenLen: 	 100 	 PFSize: 	 4 	 HypVol: 	 19106784.00000000 	 IGD: 	 713380.44166667 	 GD: 	 673328.75000000 	 MaxSpread: 	 21845.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1197 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_025.txt	0110010100110100001100100011010100000011010000110111001111111110101110001010100101101011001100101111	15354	1568661977
8105536.0000000000000000	1.0000000000000000	1602	0	25000342	0.550000 	 GenLen: 	 100 	 PFSize: 	 2 	 HypVol: 	 18059192.00000000 	 IGD: 	 398230.98333333 	 GD: 	 350005.00000000 	 MaxSpread: 	 131364.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 943 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_026.txt	1010010111111110110110011000011000000001110100111011001001010000000101110110111101101100111111110101	15432	1568661982
7659000.0000000000000000	1.0000000000000000	1201	0	25000342	0.500000 	 GenLen: 	 100 	 PFSize: 	 4 	 HypVol: 	 18679213.00000000 	 IGD: 	 588316.66666667 	 GD: 	 658382.00000000 	 MaxSpread: 	 155200.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 903 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_027.txt	0001101001100111010101111010000011101011100000100010110000100011111111011111110010000101001010101010	15882	1568661987
7869190.0000000000000000	1.0000000000000000	1201	0	25000342	0.510000 	 GenLen: 	 100 	 PFSize: 	 4 	 HypVol: 	 18673889.00000000 	 IGD: 	 702212.38333333 	 GD: 	 700980.25000000 	 MaxSpread: 	 267050.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1196 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_028.txt	1101110111011101100101100111100111101000001100101110110000110101100110001001100000101100110000100011	15827	1568661992
7128896.0000000000000000	1.0000000000000000	1201	0	25000342	0.490000 	 GenLen: 	 100 	 PFSize: 	 7 	 HypVol: 	 18804809.00000000 	 IGD: 	 708833.12500000 	 GD: 	 709386.00000000 	 MaxSpread: 	 317140.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1124 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_029.txt	1100100000011100010011010000110110001011111001011110001011101101111000101000111001010001100110010011	15644	1568661997
8103200.0000000000000000	1.0000000000000000	1602	1	25000342	0.530000 	 GenLen: 	 100 	 PFSize: 	 6 	 HypVol: 	 18977778.00000000 	 IGD: 	 709444.23333333 	 GD: 	 655341.66666667 	 MaxSpread: 	 227162.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1137 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_030.txt	0000111110100110110001011010011111111001101010001111100100111100110001011000100101000011100111111000	16198	1568662002
6716634.0000000000000000	1.0000000000000000	1602	1	25000342	0.500000 	 GenLen: 	 100 	 PFSize: 	 5 	 HypVol: 	 18728309.00000000 	 IGD: 	 668499.18333333 	 GD: 	 688208.40000000 	 MaxSpread: 	 145701.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1094 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_031.txt	1010001100100100100111000100000010010101011010111100000111000001111001110110100111001011111110110011	15952	1568662007
7064915.0000000000000000	1.0000000000000000	1201	1	25000342	0.490000 	 GenLen: 	 100 	 PFSize: 	 3 	 HypVol: 	 18738859.00000000 	 IGD: 	 568256.21666667 	 GD: 	 637515.66666667 	 MaxSpread: 	 158112.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1086 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_032.txt	1010000110000011110001010011100010011111111111101011001101000100100101010111000100010101111000001010	15493	1568662012
