45623087.0000000000000000	1.0000000000000000	1201	0	25000342	0.484000 	 GenLen: 	 250 	 PFSize: 	 7 	 HypVol: 	 123344174.00000000 	 IGD: 	 6067372.61130742 	 GD: 	 5639629.71428571 	 MaxSpread: 	 554132.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 588 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_021.txt	1011110110100011010100101011110100001011000010001101000101011011000011111010111111000100101100000111010111100000010001100001000001111110001011101001010010001001001101110111001001110011110011010000100110000010000011101110011100110010101001001110011110	8874	1568968843
41370504.0000000000000000	1.0000000000000000	1201	0	25000342	0.480000 	 GenLen: 	 250 	 PFSize: 	 5 	 HypVol: 	 123526714.00000000 	 IGD: 	 5650241.40812721 	 GD: 	 5442134.40000000 	 MaxSpread: 	 1053901.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 886 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_022.txt	1010000101001100011000010110011000110000001100110100001110100010100110011101111110010110100100101100100100001100100111100111111110000001110000001111101111101111110110010000011011110001001110010100110000000010000101100100110001100100110100110111001111	8898	1568968848
50123380.0000000000000000	1.0000000000000000	1201	0	25000342	0.524000 	 GenLen: 	 250 	 PFSize: 	 3 	 HypVol: 	 122921949.00000000 	 IGD: 	 5501978.71024735 	 GD: 	 5209352.00000000 	 MaxSpread: 	 428116.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1093 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_023.txt	0011001010110001111110110001000010110111111100001010101011001011001111100011101111010101000010001111000111011000100011001010100100110001100010010100000111001010100110001011011111011101111011101011111000110101011110001000111100100101110010000011111110	8875	1568968853
41775110.0000000000000000	1.0000000000000000	2003	0	25000342	0.520000 	 GenLen: 	 250 	 PFSize: 	 5 	 HypVol: 	 123190163.00000000 	 IGD: 	 5511473.72791519 	 GD: 	 5463596.40000000 	 MaxSpread: 	 696104.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 928 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_024.txt	0000111000110110100011110101001111011100100001101101010011100001010100101001010100001110111010001100101010010011000000011000110110000101111101001000110001011111110001111010100101011110111100111010110110101100000011100011110011111100110110010011111110	8867	1568968858
43454502.0000000000000000	1.0000000000000000	1602	0	25000342	0.500000 	 GenLen: 	 250 	 PFSize: 	 7 	 HypVol: 	 124392633.00000000 	 IGD: 	 6078138.26325088 	 GD: 	 5821685.57142857 	 MaxSpread: 	 1569389.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 832 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_025.txt	1111111100100111100000110111111111001110011010100001101111100011101001101111011000001000011000111011001101101100101000000001101000000101011111100001100001101001111100011010101101010100101001111010000100000111100001010010011010110100000111001101110000	8899	1568968863
53956536.0000000000000000	1.0000000000000000	1201	0	25000342	0.560000 	 GenLen: 	 250 	 PFSize: 	 6 	 HypVol: 	 123234675.00000000 	 IGD: 	 5996819.62720848 	 GD: 	 5550882.00000000 	 MaxSpread: 	 703925.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1176 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_026.txt	0100100111100110011100110100111001000010000010111110110101111100010001110111110000111011010001000000101100110111111000000111111101010100111111011101111101101111000110111011111001010110101011110001011101111110010110101011000100110100100100001101111001	8871	1568968868
50582934.0000000000000000	1.0000000000000000	2003	0	25000342	0.544000 	 GenLen: 	 250 	 PFSize: 	 5 	 HypVol: 	 122759112.00000000 	 IGD: 	 5599970.97173145 	 GD: 	 5227982.80000000 	 MaxSpread: 	 562725.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1177 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_027.txt	0001100101010111000100011110111100001000001100101001111110111101010111100111111110101110111111100100101101110100011011001000111010111111000010100101110001001011001110101101111001101110101011011110001100001010111001011111100100011001101100001000010000	8871	1568968873
48175776.0000000000000000	1.0000000000000000	1201	0	25000342	0.552000 	 GenLen: 	 250 	 PFSize: 	 4 	 HypVol: 	 122994507.00000000 	 IGD: 	 5401569.21908127 	 GD: 	 5285043.25000000 	 MaxSpread: 	 179252.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1040 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_028.txt	1100111011110101110010011111100110000110111101111001100001011110011101111100001010101111100011010001111001111110010101011101001001010010011110001001111001101100100000000111010010111101100111101001000011010000011010000100111101111010101110100011111110	8880	1568968878
46446525.0000000000000000	1.0000000000000000	1602	0	25000342	0.512000 	 GenLen: 	 250 	 PFSize: 	 4 	 HypVol: 	 124196136.00000000 	 IGD: 	 5911424.72084806 	 GD: 	 5739852.25000000 	 MaxSpread: 	 226089.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 553 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_029.txt	1011001110010010111101111100101001010010101111110110110111001111110011001001111010100000010011101100100101111110010100111011001011100111100010010001001000111110100010100000000001100100011001011000111111011100010110110011011011100000100010001001010110	8853	1568968883
48821934.0000000000000000	1.0000000000000000	1201	0	25000342	0.532000 	 GenLen: 	 250 	 PFSize: 	 5 	 HypVol: 	 124302137.00000000 	 IGD: 	 5895686.21908127 	 GD: 	 5560114.00000000 	 MaxSpread: 	 639145.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1402 	 LastPfUpdateTime: 	 0.02 	LogFile:	_mop3ok_knap_250_030.txt	1110010101001111111101100100110000011110000111111010001011000110011110100111011110111111001011011101110001111101110010110110000100111100010110110101101010100000111001001001110100011010000010001110001000000111100001100001011010101011011101011110101100	8871	1568968888
52792907.0000000000000000	1.0000000000000000	1201	0	25000342	0.552000 	 GenLen: 	 250 	 PFSize: 	 4 	 HypVol: 	 123463770.00000000 	 IGD: 	 5887541.94346290 	 GD: 	 5470023.75000000 	 MaxSpread: 	 307720.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1091 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_031.txt	1111111010110000110011010011100101110101000011000110101110101111110011011100011100101100100101111110100010010001100100001000011010010111010101011110000011100101000010011110100010011110110111110011100110001101110111101111001111001011001100101101111101	8866	1568968893
